station,x,y,pointX,pointY,maleLifeExpectancy,femaleLifeExpectancy,sexGapYears,maleLower95,maleUpper95,femaleLower95,femaleUpper95,msoaCode,msoaName,lsoaCode,lsoaName,imdDecile,imdRank,imdScore,healthDeprivationDecile,group
Four Lane Ends,0.4283734408466675,0.16035349036097352,255,45,81.3,83.9,2.5,79.8,82.9,82.1,85.6,E02001755,North Tyneside 018,E01008469,North Tyneside 018A,8,23803,10.985,6,network
Palmersville,0.5627651085632691,0.16035349036097352,335,45,81.3,83.9,2.5,79.8,82.9,82.1,85.6,E02001755,North Tyneside 018,E01035627,North Tyneside 018F,8,25496,9.552,4,lower
West Jesmond,0.3326193775985889,0.2779460499590208,198,78,82.3,85.8,3.5,79.9,84.7,82.5,89.1,E02001720,Newcastle upon Tyne 013,E01008373,Newcastle upon Tyne 013E,8,25606,9.471,6,network
Cullercoats,0.8735458401579103,0.28507287175284185,520,80,82.5,85.1,2.6,80.6,84.4,83.0,87.2,E02001747,North Tyneside 010,E01008496,North Tyneside 010B,4,12989,22.205,3,network
East Boldon,0.7794716727562891,0.6342871396500731,464,178,82.5,86.4,3.9,80.4,84.5,84.1,88.7,E02001790,South Tyneside 023,E01008620,South Tyneside 023D,9,29405,6.31,7,lower
Regent Centre,0.2788627105119483,0.16035349036097352,166,45,82.6,87.1,4.5,81.1,84.2,85.7,88.6,E02001713,Newcastle upon Tyne 006,E01008355,Newcastle upon Tyne 006B,9,29868,5.906,7,lower
Seaburn,0.8399479232287599,0.6342871396500731,500,178,82.6,87.3,4.7,80.7,84.4,85.6,88.9,E02001791,Sunderland 001,E01008722,Sunderland 001B,8,26562,8.72,5,network
Wansbeck Road,0.2486245852757129,0.16035349036097352,148,45,82.6,87.1,4.5,81.1,84.2,85.7,88.6,E02001713,Newcastle upon Tyne 006,E01008353,Newcastle upon Tyne 006A,4,13490,21.548,3,network
Ilford Road,0.32086010667338627,0.2351851191960945,191,66,83.4,85.6,2.2,81.8,85.0,84.0,87.2,E02001712,Newcastle upon Tyne 005,E01008422,Newcastle upon Tyne 005E,10,30917,4.978,9,lower
South Gosforth,0.31078073159464115,0.19598759933007875,185,55,83.4,85.6,2.2,81.8,85.0,84.0,87.2,E02001712,Newcastle upon Tyne 005,E01008418,Newcastle upon Tyne 005C,10,32191,3.617,9,lower
